,pos_words,count,documents
0,지지,315,"['범여권 차기 대선주자 4위 등극 에 친노 유인태 저런 지지도가 민주당의 아스킬레스건', '정세균 이낙연 이광재 오늘 도심공항 공동토론회 개최.이재명 지지포럼 참석', '양승조 지지 안한 충청 국회의원에 서운. 예비경선 통과 땐 결집력 자신감']"
1,최고,140,"['관풍루 여당에 이어 보수 진영에서도 윤석열 전 검찰총장 x파일 논란 터져김재원 국민의힘 최고위원 송영길 민주당 대표 향해 윤 x파일 공개하라 요구', '시사스페셜 김재원 국민의힘 최고위원 공수처 윤 전 총장 기소 못해 결정 못하고 넘길 것', '시사스페셜 김재원 국민의힘 최고위원 이재명 지사가 후보 되면 tk에서 20 날아갈 것']"
2,강하다,133,"['정세균 강한 경제대통령 대선 출마 대기업 월급대주주 배당 3년 동결을', '대기업 임금 3년간 동결 말한 정세균 소수 국민만 강하면 안 돼', '포항사위 정세균 강한 대한민국 만들겠다 포항서 지지호소']"
3,혁신,112,"['정세균 출마 선언 이후 첫 행보로 규제혁신간담회.이낙연 일자리 대책 논의', '정세균 경제대통령 선언 후 첫 행보는 규제혁신 간담회', '민주당 66명의 연판장 혁신 정글 우려 목소리도']"
4,흥행,109,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '경선 흥행에 정치개혁은 뒷전?민주당 내 180일 경선룰 역사는?', '정세균 경선 시기 조정 당헌 개정 사항 아냐제대로 경선해야 흥행']"
5,안정,88,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '머니s포토 정세균 대통령 직속 주거안정위원회 설립 대통령 직접 주거문제 책임질 것', '정세균 민주당표 종부세 완화 정책에 지금은 타이밍 아냐.가격 안정이 우선']"
6,신뢰,71,"['이규민 경선연기 주장에 신뢰 잃으면 모든 것 잃어원칙과 명분 버리지 말길', '이낙연 정세균계 경선연기 집단행동 민형배 신뢰 떨어뜨리는 행위 비판', '민형배 66명 연판장에 경선연기 대선 승리 보탬?신뢰만 떨어뜨려']"
7,성공,43,"['뉴트로 칼럼 드라마 펜트하우스의 성공법칙과 이준석 돌풍', 'x파일 흔들기 에도 압도적 윤석열유승민 반등 성공', '머니s포토 한자리에 모인 여권 대권주자들 서울 여의도 마리나컨벤션센터에서 열린 출판기념회에서 기념촬영을 하고 있다. 왼쪽부터 이낙연 전 더불어민주당 대표 양 충남지사 정세균 전 국무총리 김두관 의원 박용진 의원. 장동규 기자 jk31mt.co.kr저작권자 성공을 꿈꾸는 사람들의 경제 뉴스']"
8,소득,40,"['정세균 대한민국 불평등 해소하고 소득 4만 불 시대 열 것 tf사진관', '칼럼 the column 기본소득 논란에 소환된 노벨상 경제학자', '정세균 소득 4만불 도덕성 승부수이재명 윤석열 동시 겨냥']"
9,품격,39,"['경선연기 놓고 분열 이재명 그런 식으로 약팔 수 없다 정세균 말 품격 중요', '주파수on 정세균 약장수 발언 이재명 정조준.정치인의 말은 품격이 중요', '이재명 가짜약 팔던 시대 아냐 발언에 정세균 정치인은 말의 품격 중요']"
10,상승세,31,"['수산중공업 알루코 정세균 관련주 모두 상승세로수산중공업 3 상승 이어 알루코 1 상승', '대선 후보 적합도 윤석열 38 이재명 25국민의힘과 동반 상승세', '국민의힘 지지율 41.6 상승세 민주당 28.8ㅣ리얼미터']"
11,높이다,30,"['추미애 오늘 23일 대선 출마 선언 사람을 높이는 나라', '추미애 정의 공정 법치로 사람을 높이는 나라 만들겠다', '국민 짜증지수만 높인 민주당 경선연기 의원총회 격돌']"
12,적극,29,"['대권 주자 이광재 이낙연 정세균 도심 군 공항 이전 적극 검토해야', '정세균 연등회 기념관 건립 적극 추진. 전통사찰 전기료 개선', '이광재 필요하다면 도심 군 공항 이전까지도 적극 검토해야']"
13,축하,27,"['양승조 민주당 대선 후보 돛단배 엎어서는 안 돼 한편 양 지사는 23일 저서 위기 속 대한민국 미래를 말하다 의 출판기념회를 성황리에 개최했다.양 지사의 출판기념회에는 정세균 전 총리 이낙연 전 대표 김두관 의원 박용진 의원 등 대선주자들이 참석해 축하했고 박완주 정책위의장을 필두로 6명의 충남', '기획 민선7기 서춘수 군수 군민과의 동행 새로운 희망을 담다 함양군의 작지만 큰 시작인 농촌 유토피아사업은 지난 2월 27일 함양 주거플랫폼 선도사업 입주기념 행사를 축하하기 위해 정세균 전 국무총리를 비롯한 정부 관계자들이 함양을 찾았다. 주거 일자리 생활soc가 결합된 주거플랫폼의 도입으로 소외된 지역을', '대선주자 양승조 돛단배 엎어서는 안 돼 양 지사는 23일 저서 위기 속 대한민국 미래를 말하다의 출판기념회를 성황리에 개최했다. 이날 양 지사의 출판기념회에는 정세균 전 총리 이낙연 전 대표 김두관 의원 박용진 의원 등 대선주자들이 참석해 축하했고 박완주 정책위의장을 필두로 6명의 충남']"
14,능력,21,"['포항의 사위 정세균 국민통합 리더십 필요.내가 적격종합 대선 출마 선언 후 첫 행사로 포항 방문.포항이 키워주리라 생각윤석열 전 검찰총장 능력과 도덕성 검증 잘 받아야 포항 찾은 정세균 전 국무총리 포항연합뉴스 김현태 기자 더불어민주당 대권주자인 정세균 전 국무총리가 18일 경북 포항시청을 찾아 기자간담회를 하고 있다. 2021.6.18 mtkhtyna.co.kr 포항연합뉴스 손대성 김현태 기자 더불어민주당 대권주자인 정세균', '06월 21일 18시 04 파일 대선 초입 여의도 강타. 발끈 맹폭 김대업 시즌2 프레임으로 송영길에 역공 하다 보니 실존 여부를 떠나 엑스파일이라는 말이 중독성이 있다. 휘발성과 전파력도 짱이라고 비꼬았다. 민주당 대권주자인 정세균 전 국무총리는 모든 후보는 철저하게 능력과 도덕성 검증을 받아야 한다 고 지적했고 이광재 의원은 정치인 윤석열로서 보여준', '윤석열 x파일 논란.여당 정치공작 vs 야권 인사 제기 뭐 무슨 공작했다는 식의 호도는 저는 심각하게 동시에 모든 대선주자들은 검증론을 피할 수 없다는 원칙론도 강조했습니다. 정세균 전 총리ytn 라디오 황보선의출발새아침 윤석열 전 총장뿐만 아니라 대선에 나서고자 하는 모든 후보들은 철저하게 능력']"
